,property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,is_belgian
7060,10663209,aalst,9300,Onze Lieve Vrouwplein,21,50.9421799,4.0532171,APARTMENT,APARTMENT,214000.0,BUY_REGULAR,,111.0,INSTALLED,1.0,,0,,,,,,,0.0,AS_NEW,True
7061,11160923,leuven,3000,Zandgang,3,50.8863876,4.6950844,HOUSE,HOUSE,545000.0,BUY_REGULAR,12.0,100.0,INSTALLED,1.0,,0,1.0,6.0,1.0,15.0,45.0,,,GOOD,True
7062,11159713,ichtegem,8480,Diksmuidebaan,105,51.0829281,3.04205,HOUSE,HOUSE,250000.0,BUY_REGULAR,3.0,,,,,0,,,,,152.0,3.0,,GOOD,True
7064,10971611,waregem,8790,Holstraat,44,50.884982,3.435005,APARTMENT,FLAT_STUDIO,115000.0,BUY_REGULAR,,37.0,USA_INSTALLED,1.0,0.0,0,,,,,,,0.0,JUST_RENOVATED,True
7065,11143423,zottegem,9620,Azaleastraat,11,50.8752913,3.8238826,HOUSE,HOUSE,247000.0,BUY_REGULAR,9.0,94.0,,1.0,,0,,,,,256.0,,,TO_BE_DONE_UP,True
7066,11143329,berendrecht,2040,Westmolengeest,8,51.352644,4.3243573,HOUSE,HOUSE,296000.0,BUY_REGULAR,11.0,114.0,INSTALLED,1.0,,0,,,1.0,477.0,477.0,,,TO_BE_DONE_UP,True
7067,11147662,arquennes,7181,avenue du viaduc,40+,50.567717,4.2681818,HOUSE,HOUSE,150000.0,BUY_REGULAR,,100.0,NOT_INSTALLED,1.0,,0,,,,,358.0,3.0,,,True
7068,11147911,knokke-heist,8300,Zwinlaan,14,51.3589255,3.3187338,APARTMENT,GROUND_FLOOR,5250000.0,BUY_REGULAR,1.0,219.0,,,,0,1.0,64.0,1.0,349.0,,,,GOOD,True
7069,11151784,sint-niklaas,9111,Felix Timmermanslaan,31,51.1640139,4.1214234,HOUSE,HOUSE,485000.0,BUY_REGULAR,,208.0,,,0.0,0,1.0,,,,572.0,3.0,,GOOD,True
7070,11144147,besonrieux,7100,,,,,HOUSE,MIXED_USE_BUILDING,299999.0,BUY_REGULAR,,215.0,INSTALLED,1.0,0.0,0,1.0,,,,258.0,2.0,0.0,GOOD,True
7071,10953596,sint-jans-molenbeek,1080,rue des bougainvilliées,7,50.8514448,4.3031626,APARTMENT,APARTMENT,195000.0,BUY_REGULAR,,60.0,SEMI_EQUIPPED,1.0,0.0,0,1.0,40.0,,,,,0.0,,True
7072,10636347,halle (1500),1500,Vondel,6,50.7356552,4.2388978,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,8.0,120.0,INSTALLED,1.0,,0,1.0,3.0,,,,,,GOOD,True
7073,11087258,vottem,4041,Rue de Liège,94,50.671413,5.5802112,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,,125.0,INSTALLED,1.0,,1,,,,,,2.0,,GOOD,True
7074,11036338,knokke-zoute,8300,Lippenslaan,27,51.3423286,3.2873801,APARTMENT,APARTMENT,765000.0,BUY_REGULAR,14.0,93.0,HYPER_EQUIPPED,1.0,,0,,,,,,2.0,,AS_NEW,True
7075,10505726,knokke,8300,Zeedijk,501,51.3484796,3.2769162,APARTMENT,APARTMENT,1350000.0,BUY_REGULAR,1.0,75.0,,,,0,,,,,,,,GOOD,True
7076,11162439,brugge,8000,Karel de Stoutelaan,127,51.2155771,3.2046117,APARTMENT,APARTMENT,280000.0,BUY_REGULAR,1.0,113.0,,1.0,,0,,,1.0,22.0,,,,GOOD,True
7077,10468669,pittem,8740,Tieltstraat,39,50.993014,3.2669602,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
7078,11148908,dilbeek,1700,Priorijstraat,14,50.8709193,4.2405981,HOUSE,HOUSE,495000.0,BUY_REGULAR,,265.0,INSTALLED,1.0,0.0,0,1.0,,,,649.0,4.0,,GOOD,True
7079,11050812,antwerpen,2018,Belgiëlei,75A,51.2064545,4.4198789,APARTMENT,APARTMENT,249900.0,BUY_REGULAR,,78.0,INSTALLED,1.0,0.0,0,,,,,,,0.0,AS_NEW,True
7080,10486411,knokke,8300,,,,,APARTMENT,APARTMENT,2250000.0,BUY_REGULAR,3.0,84.0,HYPER_EQUIPPED,1.0,1.0,0,1.0,13.0,,,,2.0,,AS_NEW,True
7081,10721054,hoboken,2660,Paul Vekemanslaan,84,51.1756317,4.3642281,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,,80.0,INSTALLED,1.0,,0,,,,,,,,GOOD,True
7082,11153851,châtelet,6200,Tienne Robau,60,50.4003082,4.5281755,HOUSE,HOUSE,159000.0,BUY_REGULAR,,120.0,SEMI_EQUIPPED,1.0,0.0,0,1.0,30.0,1.0,100.0,203.0,3.0,0.0,GOOD,True
7083,11119966,staden,8840,Grote Veldstraat,31,50.9719273,3.0163553,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
7084,11143569,nederename,9700,Nederenamestraat,150,50.8647098,3.642649,HOUSE,HOUSE,330000.0,BUY_REGULAR,14.0,178.0,,1.0,,0,1.0,,,,274.0,3.0,,,True
7085,10768655,brussel,1000,,,,,APARTMENT,PENTHOUSE,895000.0,BUY_REGULAR,,230.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,90.0,,,,2.0,0.0,AS_NEW,True
7086,11146748,dendermonde,9200,Dokter Haekstraat,32,51.0525367,4.1070742,HOUSE,HOUSE,229900.0,BUY_REGULAR,2.0,90.0,,,,0,,,,,70.0,2.0,,GOOD,True
7087,10956082,temse,9140,Krijgsbaan,185,51.1285723,4.2379941,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
7088,11152290,kessel-lo,3010,Martelarenlaan,200,50.8735569,4.7193955,APARTMENT,KOT,185000.0,BUY_REGULAR,,23.0,INSTALLED,1.0,1.0,0,,,,,,2.0,,GOOD,True
7089,11141635,ukkel,1180,Place Olivier Strebelle,1,50.7835951,4.345381,HOUSE_GROUP,HOUSE_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
7090,11035690,kasterlee,2460,Lichtaartsebaan,49,51.2376047,4.955086,APARTMENT,LOFT,424000.0,BUY_REGULAR,,261.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,25.0,,,,3.0,,JUST_RENOVATED,True
7091,11137639,oostende,8400,Albert I Promenade,6,51.234937,2.9204317,APARTMENT,APARTMENT,375000.0,BUY_REGULAR,,95.0,INSTALLED,1.0,0.0,0,1.0,,,,,2.0,,GOOD,True
7092,11158698,brecht,2960,Dennenlaan,58,51.2990482,4.5843327,HOUSE,HOUSE,995000.0,BUY_REGULAR,6.0,412.0,HYPER_EQUIPPED,1.0,,1,,,1.0,,1634.0,4.0,1.0,GOOD,True
7093,11153219,herve,4650,Rue Ann-Sophie Charlier,37,50.6359711,5.7924066,HOUSE,HOUSE,325000.0,BUY_REGULAR,,147.0,,,,0,1.0,20.0,,,696.0,3.0,0.0,AS_NEW,True
7094,11152101,noorderwijk,2200,Binnenweide,12,51.1229195,4.8308549,HOUSE,HOUSE,390000.0,BUY_REGULAR,,305.0,SEMI_EQUIPPED,1.0,,1,1.0,,1.0,,686.0,4.0,,GOOD,True
7095,11110497,maldegem,9991,Adegem-Dorp,3,51.2034036,3.4868378,APARTMENT,APARTMENT,149500.0,BUY_REGULAR,,59.0,,,0.0,0,1.0,,,,,2.0,0.0,,True
7096,11046707,dilbeek,1700,Sint-Antoniuslaan,74,50.8492045,4.2823143,APARTMENT,APARTMENT,285000.0,BUY_REGULAR,,109.0,INSTALLED,1.0,0.0,0,1.0,7.0,,,,,0.0,GOOD,True
7097,11155866,sambreville,5060,,,,,HOUSE,VILLA,439000.0,BUY_REGULAR,,158.0,INSTALLED,1.0,,1,,,,,1658.0,4.0,1.0,JUST_RENOVATED,True
7098,11154893,ekeren,2180,Markt,19,51.277654,4.4180265,HOUSE,APARTMENT_BLOCK,550000.0,BUY_REGULAR,,260.0,,,,1,,,1.0,100.0,237.0,2.0,,TO_RENOVATE,True
